Country Code,Country,Year,Series,System of trade,Value
35,South-eastern Asia,2019,Balance imports/exports (millions of US dollars),,"38,272"
35,South-eastern Asia,2020,Balance imports/exports (millions of US dollars),,"121,129"
34,Southern Asia,1995,Imports CIF (millions of US dollars),,"74,082"
34,Southern Asia,2005,Imports CIF (millions of US dollars),,"229,179"
34,Southern Asia,2010,Imports CIF (millions of US dollars),,"497,340"
34,Southern Asia,2015,Imports CIF (millions of US dollars),,"559,091"
34,Southern Asia,2018,Imports CIF (millions of US dollars),,"711,193"
34,Southern Asia,2019,Imports CIF (millions of US dollars),,"662,609"
34,Southern Asia,2020,Imports CIF (millions of US dollars),,"514,324"
34,Southern Asia,1995,Exports FOB (millions of US dollars),,"65,912"
34,Southern Asia,2005,Exports FOB (millions of US dollars),,"193,182"
34,Southern Asia,2010,Exports FOB (millions of US dollars),,"354,892"
34,Southern Asia,2015,Exports FOB (millions of US dollars),,"390,610"
34,Southern Asia,2018,Exports FOB (millions of US dollars),,"491,124"
34,Southern Asia,2019,Exports FOB (millions of US dollars),,"467,503"
34,Southern Asia,2020,Exports FOB (millions of US dollars),,"354,413"
34,Southern Asia,1995,Balance imports/exports (millions of US dollars),,"-8,171"
34,Southern Asia,2005,Balance imports/exports (millions of US dollars),,"-35,997"
34,Southern Asia,2010,Balance imports/exports (millions of US dollars),,"-142,448"
34,Southern Asia,2015,Balance imports/exports (millions of US dollars),,"-168,481"
